JobID,State,ExitCode,NodeList,Start,End,Elapsed,Timelimit,FailedNode
6906541_1,COMPLETED,0:0,vera-r02-24,2025-03-14T16:13:55,2025-03-14T16:15:53,00:01:58,00:15:00,
6906541_1.batch,COMPLETED,0:0,vera-r02-24,2025-03-14T16:13:55,2025-03-14T16:15:53,00:01:58,,
6906541_1.extern,COMPLETED,0:0,vera-r02-24,2025-03-14T16:13:55,2025-03-14T16:15:53,00:01:58,,
6906541_2,COMPLETED,0:0,vera-r02-24,2025-03-14T16:13:55,2025-03-14T16:15:55,00:02:00,00:15:00,
6906541_2.batch,COMPLETED,0:0,vera-r02-24,2025-03-14T16:13:55,2025-03-14T16:15:55,00:02:00,,
6906541_2.extern,COMPLETED,0:0,vera-r02-24,2025-03-14T16:13:55,2025-03-14T16:15:55,00:02:00,,
6906541_3,COMPLETED,0:0,vera-r02-24,2025-03-14T16:15:56,2025-03-14T16:17:54,00:01:58,00:15:00,
6906541_3.batch,COMPLETED,0:0,vera-r02-24,2025-03-14T16:15:56,2025-03-14T16:17:54,00:01:58,,
6906541_3.extern,COMPLETED,0:0,vera-r02-24,2025-03-14T16:15:56,2025-03-14T16:17:54,00:01:58,,
6906541_4,COMPLETED,0:0,vera-r02-24,2025-03-14T16:15:56,2025-03-14T16:17:56,00:02:00,00:15:00,
6906541_4.batch,COMPLETED,0:0,vera-r02-24,2025-03-14T16:15:56,2025-03-14T16:17:56,00:02:00,,
6906541_4.extern,COMPLETED,0:0,vera-r02-24,2025-03-14T16:15:56,2025-03-14T16:17:56,00:02:00,,
6906541_5,COMPLETED,0:0,vera-r02-24,2025-03-14T16:17:56,2025-03-14T16:19:58,00:02:02,00:15:00,
6906541_5.batch,COMPLETED,0:0,vera-r02-24,2025-03-14T16:17:56,2025-03-14T16:19:58,00:02:02,,
6906541_5.extern,COMPLETED,0:0,vera-r02-24,2025-03-14T16:17:56,2025-03-14T16:19:58,00:02:02,,
6906541_6,COMPLETED,0:0,vera-r02-24,2025-03-14T16:17:56,2025-03-14T16:19:56,00:02:00,00:15:00,
6906541_6.batch,COMPLETED,0:0,vera-r02-24,2025-03-14T16:17:56,2025-03-14T16:19:56,00:02:00,,
6906541_6.extern,COMPLETED,0:0,vera-r02-24,2025-03-14T16:17:56,2025-03-14T16:19:56,00:02:00,,
6906541_7,COMPLETED,0:0,vera-r05-04,2025-03-14T16:17:56,2025-03-14T16:21:41,00:03:45,00:15:00,
6906541_7.batch,COMPLETED,0:0,vera-r05-04,2025-03-14T16:17:56,2025-03-14T16:21:41,00:03:45,,
6906541_7.extern,COMPLETED,0:0,vera-r05-04,2025-03-14T16:17:56,2025-03-14T16:21:41,00:03:45,,
6906541_8,COMPLETED,0:0,vera-r02-24,2025-03-14T16:19:57,2025-03-14T16:21:58,00:02:01,00:15:00,
6906541_8.batch,COMPLETED,0:0,vera-r02-24,2025-03-14T16:19:57,2025-03-14T16:21:58,00:02:01,,
6906541_8.extern,COMPLETED,0:0,vera-r02-24,2025-03-14T16:19:57,2025-03-14T16:21:58,00:02:01,,
6906541_9,COMPLETED,0:0,vera-r02-24,2025-03-14T16:20:27,2025-03-14T16:22:27,00:02:00,00:15:00,
6906541_9.batch,COMPLETED,0:0,vera-r02-24,2025-03-14T16:20:27,2025-03-14T16:22:27,00:02:00,,
6906541_9.extern,COMPLETED,0:0,vera-r02-24,2025-03-14T16:20:27,2025-03-14T16:22:27,00:02:00,,
6906541_10,COMPLETED,0:0,vera-r05-04,2025-03-14T16:21:58,2025-03-14T16:24:27,00:02:29,00:15:00,
6906541_10.batch,COMPLETED,0:0,vera-r05-04,2025-03-14T16:21:58,2025-03-14T16:24:27,00:02:29,,
6906541_10.extern,COMPLETED,0:0,vera-r05-04,2025-03-14T16:21:58,2025-03-14T16:24:27,00:02:29,,
6906541_11,COMPLETED,0:0,vera-r02-24,2025-03-14T16:22:28,2025-03-14T16:24:29,00:02:01,00:15:00,
6906541_11.batch,COMPLETED,0:0,vera-r02-24,2025-03-14T16:22:28,2025-03-14T16:24:29,00:02:01,,
6906541_11.extern,COMPLETED,0:0,vera-r02-24,2025-03-14T16:22:28,2025-03-14T16:24:29,00:02:01,,
6906541_12,COMPLETED,0:0,vera-r02-24,2025-03-14T16:22:28,2025-03-14T16:24:29,00:02:01,00:15:00,
6906541_12.batch,COMPLETED,0:0,vera-r02-24,2025-03-14T16:22:28,2025-03-14T16:24:29,00:02:01,,
6906541_12.extern,COMPLETED,0:0,vera-r02-24,2025-03-14T16:22:28,2025-03-14T16:24:29,00:02:01,,
6906541_13,COMPLETED,0:0,vera-r02-04,2025-03-14T16:23:28,2025-03-14T16:25:47,00:02:19,00:15:00,
6906541_13.batch,COMPLETED,0:0,vera-r02-04,2025-03-14T16:23:28,2025-03-14T16:25:47,00:02:19,,
6906541_13.extern,COMPLETED,0:0,vera-r02-04,2025-03-14T16:23:28,2025-03-14T16:25:47,00:02:19,,
6906541_14,COMPLETED,0:0,vera-r01-22,2025-03-14T16:23:58,2025-03-14T16:26:14,00:02:16,00:15:00,
6906541_14.batch,COMPLETED,0:0,vera-r01-22,2025-03-14T16:23:58,2025-03-14T16:26:14,00:02:16,,
6906541_14.extern,COMPLETED,0:0,vera-r01-22,2025-03-14T16:23:58,2025-03-14T16:26:14,00:02:16,,
6906541_15,COMPLETED,0:0,vera-r03-06,2025-03-14T16:23:58,2025-03-14T16:27:02,00:03:04,00:15:00,
6906541_15.batch,COMPLETED,0:0,vera-r03-06,2025-03-14T16:23:58,2025-03-14T16:27:02,00:03:04,,
6906541_15.extern,COMPLETED,0:0,vera-r03-06,2025-03-14T16:23:58,2025-03-14T16:27:02,00:03:04,,
6906541_16,COMPLETED,0:0,vera-r05-04,2025-03-14T16:24:29,2025-03-14T16:27:01,00:02:32,00:15:00,
6906541_16.batch,COMPLETED,0:0,vera-r05-04,2025-03-14T16:24:29,2025-03-14T16:27:01,00:02:32,,
6906541_16.extern,COMPLETED,0:0,vera-r05-04,2025-03-14T16:24:29,2025-03-14T16:27:01,00:02:32,,
6906541_17,COMPLETED,0:0,vera-r02-24,2025-03-14T16:24:59,2025-03-14T16:26:57,00:01:58,00:15:00,
6906541_17.batch,COMPLETED,0:0,vera-r02-24,2025-03-14T16:24:59,2025-03-14T16:26:57,00:01:58,,
6906541_17.extern,COMPLETED,0:0,vera-r02-24,2025-03-14T16:24:59,2025-03-14T16:26:57,00:01:58,,
6906541_18,COMPLETED,0:0,vera-r02-24,2025-03-14T16:24:59,2025-03-14T16:26:57,00:01:58,00:15:00,
6906541_18.batch,COMPLETED,0:0,vera-r02-24,2025-03-14T16:24:59,2025-03-14T16:26:57,00:01:58,,
6906541_18.extern,COMPLETED,0:0,vera-r02-24,2025-03-14T16:24:59,2025-03-14T16:26:57,00:01:58,,
6906541_19,COMPLETED,0:0,vera-r02-04,2025-03-14T16:25:59,2025-03-14T16:28:01,00:02:02,00:15:00,
6906541_19.batch,COMPLETED,0:0,vera-r02-04,2025-03-14T16:25:59,2025-03-14T16:28:01,00:02:02,,
6906541_19.extern,COMPLETED,0:0,vera-r02-04,2025-03-14T16:25:59,2025-03-14T16:28:01,00:02:02,,
6906541_20,COMPLETED,0:0,vera-r01-22,2025-03-14T16:26:30,2025-03-14T16:28:48,00:02:18,00:15:00,
6906541_20.batch,COMPLETED,0:0,vera-r01-22,2025-03-14T16:26:30,2025-03-14T16:28:48,00:02:18,,
6906541_20.extern,COMPLETED,0:0,vera-r01-22,2025-03-14T16:26:30,2025-03-14T16:28:48,00:02:18,,
